ID_Cliente;Ingreso_Mensual;Gasto_Marketing;Edad;Puntaje_Satisfaccion;Tiempo_Plataforma;Tipo_Suscripcion;Genero;Decision_Compra;Sector_Industrial;Nivel_Fidelidad
1;23235.21;1549.84;47;72;101.0;estándar;Femenino;Sí;Retail;Alto
2;20377.81;1431.16;48;94;102.6;Premium;No responde;Sí;Finanzas;Medio
3;23914.6;1214.91;55;66;49.1;estándar;Femenino;Sí;Tecnología;Medio
4;27853.63;1038.27;28;89;39.3;estándar;Femenino;Sí;Retail;Medio
5;19946.31;1374.56;52;70;50.8;básica;Femenino;Sí;Finanzas;Medio
6;19946.38;1298.37;25;51;107.5;estándar;Femenino;No;Retail;Alto
7;28106.46;1423.8;20;86;13.6;Premium;Femenino;Sí;Tecnología;Alto
8;24453.46;1358.79;31;55;295.3;estándar;Masculino;Sí;Retail;Bajo
9;18887.37;1462.39;30;93;30.4;estándar;Masculino;Sí;Finanzas;Medio
10;23441.52;1066.19;62;67;39.8;Premium;Masculino;Sí;Tecnología;Alto
11;18914.62;1529.35;49;79;97.6;estándar;Femenino;Sí;Retail;Medio
12;18904.22;1249.4;51;71;158.6;estándar;Masculino;Sí;Tecnología;Bajo
13;22088.83;1718.82;62;82;22.1;estándar;Femenino;No;Tecnología;Alto
14;12390.24;1027.7;36;79;55.9;estándar;Masculino;Sí;Retail;Bajo
15;13237.87;1633.99;55;66;425.6;básica;Femenino;Sí;Retail;Bajo
16;18469.71;1249.48;33;92;46.5;estándar;Masculino;Sí;Tecnología;Bajo
17;16442.26;1037.15;19;81;55.1;estándar;Masculino;Sí;Retail;Bajo
18;22414.11;1079.03;57;91;227.3;estándar;Masculino;No;Retail;Medio
19;16913.89;1119.91;34;100;16.2;estándar;Femenino;Sí;Retail;Medio
20;14644.63;1306.04;51;63;85.0;estándar;Femenino;No;Retail;Alto
21;27595.42;1330.71;59;59;67.3;básica;Femenino;Sí;Tecnología;Alto
22;19984.01;1056.57;33;96;55.7;estándar;Masculino;No;Finanzas;Medio
23;21303.88;1193.91;55;100;50.4;básica;Masculino;Sí;Retail;Medio
24;14588.63;1735.57;19;85;21.5;estándar;Femenino;No;Retail;Alto
25;18550.28;1631.89;19;83;55.4;Premium;Masculino;Sí;Finanzas;Medio
26;21499.15;1309.08;43;58;15.3;estándar;Masculino;Sí;Tecnología;Alto
27;15820.53;1209.5;30;91;192.2;estándar;Masculino;No;Tecnología;Bajo
28;22690.64;1230.01;64;77;70.9;básica;Femenino;No;Retail;Alto
29;18297.13;1353.38;48;60;80.4;básica;Femenino;Sí;Retail;Medio
30;19687.38;944.3;51;63;278.9;estándar;Femenino;Sí;Finanzas;Medio
31;18292.32;1135.66;56;88;138.8;básica;Masculino;Sí;Finanzas;Alto
32;29335.25;782.85;20;96;11.0;estándar;Femenino;No;Tecnología;Bajo
33;20939.26;1299.81;25;68;354.1;básica;Masculino;Sí;Retail;Medio
34;16240.3;1361.8;40;64;42.5;Premium;Masculino;Sí;Retail;Medio
35;24701.45;1079.2;31;77;23.7;estándar;Masculino;No;Tecnología;Alto
36;15506.2;1593.5;44;73;185.4;básica;Masculino;No;Finanzas;Medio
37;21939.89;893.56;46;57;93.3;Premium;Femenino;Sí;Finanzas;Alto
38;12181.48;833.91;56;92;78.3;básica;Femenino;No;Retail;Medio
39;15023.16;1256.11;56;58;44.4;básica;Masculino;No;Tecnología;Medio
40;21885.88;1461.77;18;96;105.1;estándar;Femenino;Sí;Tecnología;Bajo
41;24323.1;1620.98;34;82;48.5;estándar;Femenino;Sí;Tecnología;Medio
42;21771.16;1085.28;58;82;288.2;estándar;Femenino;No;Finanzas;Alto
43;20479.58;1469.67;47;68;39.1;básica;Femenino;Sí;Tecnología;Alto
44;19645.03;1190.37;30;52;268.9;estándar;Femenino;No;Finanzas;Medio
45;14346.65;1156.84;38;59;108.4;básica;Masculino;Sí;Retail;Alto
46;17760.7;1420.91;36;89;221.6;básica;Masculino;Sí;Retail;Alto
47;18927.13;1363.08;36;96;159.7;Premium;Masculino;No;Retail;Bajo
48;25757.05;805.9;42;91;153.2;estándar;Femenino;Sí;Retail;Alto
49;22546.28;1569.14;39;50;57.0;básica;Femenino;Sí;Retail;Bajo
50;13066.32;1545.02;48;78;42.0;estándar;Femenino;No;Finanzas;Alto
51;22458.38;1043.61;34;99;38.4;básica;Masculino;No;Retail;Bajo
52;19267.13;1298.95;40;83;243.6;Premium;Femenino;Sí;Retail;Medio
53;17953.85;1323.51;49;100;216.1;básica;Masculino;Sí;Retail;Medio
54;23752.54;1265.17;27;62;79.7;básica;Masculino;No;Tecnología;Alto
55;25639.5;1062.42;27;50;27.0;estándar;Femenino;No;Retail;Bajo
56;25190.76;1032.09;53;83;67.8;estándar;Femenino;Sí;Finanzas;Bajo
57;17223.52;1193.61;25;78;125.9;estándar;No responde;No;Tecnología;Medio
58;19608.54;1493.18;37;97;82.7;básica;No responde;No;Tecnología;Medio
59;22490.69;1335.9;49;96;191.8;básica;Femenino;Sí;Tecnología;Medio
60;25389.95;1107.35;31;62;735.0;estándar;Femenino;No;Retail;Alto
61;18843.72;1392.92;45;97;35.5;básica;No responde;Sí;Tecnología;Medio
62;20164.53;487.86;63;98;83.9;Premium;Femenino;Sí;Retail;Bajo
63;16021.49;1487.19;41;78;77.7;básica;Femenino;No;Tecnología;Medio
64;15617.07;765.07;32;88;53.6;estándar;Femenino;No;Tecnología;Alto
65;24656.37;1109.39;39;73;36.5;estándar;Masculino;No;Retail;Medio
66;27103.08;920.08;47;75;18.2;básica;Femenino;Sí;Tecnología;Medio
67;20675.95;876.33;21;66;271.8;estándar;Femenino;Sí;Finanzas;Alto
68;25515.9;1490.21;30;56;75.3;Premium;Femenino;Sí;Tecnología;Alto
69;22627.36;1083.07;40;62;92.4;básica;Masculino;Sí;Retail;Alto
70;18096.96;1286.63;25;54;308.6;Premium;No responde;Sí;Tecnología;Medio
71;22626.28;1188.27;35;75;189.7;estándar;Masculino;Sí;Tecnología;Alto
72;27921.16;1319.26;29;98;26.8;básica;Masculino;Sí;Finanzas;Medio
73;20838.78;1219.21;48;52;110.0;estándar;Masculino;No;Finanzas;Medio
74;28040.9;879.25;31;56;80.1;básica;Femenino;Sí;Tecnología;Medio
75;9211.15;1449.07;51;98;201.5;estándar;Femenino;Sí;Retail;Bajo
76;24698.56;1076.56;35;88;164.6;estándar;Masculino;Sí;Retail;Alto
77;21391.71;810.85;51;50;150.7;Premium;Femenino;Sí;Tecnología;Medio
78;19654.47;1092.97;28;98;60.0;Premium;Femenino;Sí;Tecnología;Bajo
79;21412.92;1575.19;58;66;206.1;estándar;Masculino;Sí;Finanzas;Alto
80;12055.94;1412.56;29;92;16.5;estándar;Femenino;No;Finanzas;Alto
81;20011.48;1112.84;32;74;30.9;básica;Femenino;Sí;Finanzas;Bajo
82;22607.01;1112.69;48;52;59.1;estándar;No responde;No;Finanzas;Bajo
83;27650.52;1119.59;46;64;19.6;básica;Masculino;No;Retail;Medio
84;18667.78;1719.19;43;78;42.1;estándar;Femenino;No;Tecnología;Alto
85;17361.78;1295.48;35;92;222.7;estándar;No responde;Sí;Tecnología;Medio
86;18742.09;1307.51;49;81;365.4;básica;Masculino;No;Tecnología;Alto
87;25119.31;1457.57;39;75;53.6;básica;Masculino;Sí;Retail;Medio
88;22479.38;1259.7;55;65;46.9;estándar;Femenino;Sí;Finanzas;Medio
89;18616.08;1135.24;34;74;49.4;estándar;Femenino;No;Finanzas;Bajo
90;23309.7;1150.91;40;77;49.0;estándar;Masculino;Sí;Finanzas;Alto
91;21436.85;1182.1;41;58;14.4;estándar;Masculino;Sí;Finanzas;Medio
92;25358.9;1190.69;25;50;323.9;estándar;Masculino;Sí;Finanzas;Alto
93;17840.76;1381.91;58;78;38.8;estándar;Femenino;Sí;Tecnología;Medio
94;19525.52;1212.99;23;71;75.4;básica;Femenino;Sí;Finanzas;Medio
95;19235.51;1383.16;22;65;11.2;básica;Masculino;Sí;Retail;Alto
96;14414.18;1179.82;61;90;244.2;estándar;Femenino;No;Tecnología;Medio
97;22332.54;1219.66;46;100;167.6;estándar;Masculino;No;Finanzas;Medio
98;22174.75;700.45;45;93;361.9;básica;Femenino;No;Finanzas;Bajo
99;21023.01;1429.08;28;100;192.6;estándar;Femenino;Sí;Tecnología;Medio
100;19944.36;1286.62;18;90;55.2;básica;Masculino;No;Tecnología;Bajo
101;14630.83;1449.5;60;56;44.2;estándar;Masculino;No;Retail;Medio
102;19107.1;475.94;36;63;153.6;estándar;Femenino;No;Retail;Alto
103;19457.78;1722.09;26;78;64.3;estándar;Femenino;Sí;Finanzas;Medio
104;17389.75;1165.1;44;68;110.2;Premium;Masculino;Sí;Tecnología;Medio
105;20274.21;1477.05;51;68;10.8;básica;Femenino;Sí;Tecnología;Medio
106;22818.23;940.02;61;51;17.7;Premium;Masculino;Sí;Tecnología;Medio
107;29487.84;1353.19;21;90;102.0;estándar;No responde;Sí;Tecnología;Medio
108;21785.6;936.65;53;94;110.2;estándar;Femenino;No;Tecnología;Alto
109;22158.98;1044.06;35;64;177.1;estándar;Masculino;Sí;Finanzas;Alto
110;20664.99;1678.51;32;52;27.0;estándar;Femenino;Sí;Tecnología;Medio
111;12365.53;1152.33;30;60;96.4;estándar;Masculino;Sí;Retail;Medio
112;20880.69;1254.36;36;95;35.9;estándar;Femenino;Sí;Tecnología;Medio
113;21271.04;1417.52;23;79;21.7;básica;No responde;Sí;Tecnología;Medio
114;32084.59;1323.92;65;89;73.4;básica;Femenino;No;Finanzas;Alto
115;20134.38;1237.6;29;67;31.4;estándar;Femenino;Sí;Retail;Medio
116;22356.96;1291.24;54;100;40.1;básica;No responde;No;Finanzas;Medio
117;20843.8;1800.85;34;97;55.8;estándar;Masculino;Sí;Retail;Medio
118;15740.95;1185.6;40;51;46.0;básica;Masculino;Sí;Tecnología;Medio
119;26142.7;1250.27;43;81;21.0;estándar;Femenino;Sí;Retail;Medio
120;24383.7;1462.66;46;57;21.3;Premium;Masculino;No;Tecnología;Medio
121;24559.64;1476.38;50;71;35.8;Premium;Femenino;Sí;Finanzas;Bajo
122;16907.76;1496.76;44;55;16.2;estándar;Femenino;No;Tecnología;Medio
123;27312.57;1359.68;42;61;128.2;estándar;Masculino;Sí;Retail;Medio
124;14691.67;914.25;27;96;50.6;Premium;Femenino;No;Tecnología;Medio
125;23640.86;1608.36;64;89;49.4;estándar;Masculino;No;Retail;Medio
126;30857.05;913.41;40;85;58.4;básica;Masculino;Sí;Finanzas;Medio
127;16542.59;1275.66;38;64;140.4;Premium;Masculino;No;Retail;Medio
128;18451.66;1011.43;38;77;255.4;estándar;Masculino;Sí;Retail;Medio
129;21448.43;1183.97;60;98;180.8;estándar;Masculino;No;Finanzas;Alto
130;18734.36;1282.19;30;94;166.0;básica;Femenino;Sí;Retail;Bajo
131;14022.01;1280.34;54;67;89.5;básica;Masculino;Sí;Tecnología;Medio
132;21308.53;1305.48;50;51;152.0;Premium;Femenino;No;Tecnología;Medio
133;16219.63;1603.43;41;62;106.6;estándar;Femenino;No;Retail;Medio
134;23131.17;1313.38;61;94;39.2;básica;Masculino;Sí;Retail;Alto
